"PID","MS.SubClass","MS.Zoning","Lot.Frontage","Lot.Area","Street","Alley","Lot.Shape","Land.Contour","Utilities","Lot.Config","Land.Slope","Neighborhood","Condition.1","Condition.2","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Roof.Style","Roof.Matl","Exterior.1st","Exterior.2nd","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Bsmt.Cond","Bsmt.Exposure","BsmtFin.Type.1","BsmtFin.SF.1","BsmtFin.Type.2","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Heating","Heating.QC","Central.Air","Electrical","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Yr.Blt","Garage.Finish","Garage.Cars","Garage.Area","Garage.Qual","Garage.Cond","Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Pool.Area","Pool.QC","Fence","Misc.Feature","Misc.Val","Sale.Type","Sale.Condition","SalePrice"
528294060,60,"RL",77,8390,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl",9,"Norm","Norm","1Fam","2Story",7,5,1999,1999,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,831,831,"GasA","Ex","Y","SBrkr",873,778,0,1651,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","BuiltIn",1999,"Fin",2,450,"TA","TA","Y",0,103,0,0,0,0,"NA","NA","NA",0,"WD ","Normal",219475.675621882
534479150,20,"RL",63,7584,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",16,"Artery","Norm","1Fam","1Story",5,5,1953,1953,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",88,"TA","TA","CBlock","TA","TA","No","LwQ",531,"Unf",0,505,1036,"GasA","Ex","Y","SBrkr",1036,0,0,1036,0,0,1,0,3,1,"TA",5,"Typ",0,"NA","Attchd",1953,"RFn",1,312,"TA","TA","Y",120,24,0,0,0,0,"NA","MnPrv","NA",0,"WD ","Normal",122106.717990118
533254110,80,"RL",80,9600,"Pave","NA","Reg","Low","AllPub","FR2","Mod",28,"Feedr","Norm","1Fam","SLvl",8,5,1976,1976,"Gable","CompShg","Plywood","Plywood","BrkFace",200,"Gd","Gd","CBlock","TA","TA","No","Unf",0,"Unf",0,392,392,"GasA","Ex","Y","SBrkr",1487,1012,0,2499,0,0,2,1,4,1,"TA",5,"Typ",1,"Gd","Attchd",1976,"Unf",2,527,"TA","TA","Y",0,64,0,0,0,0,"NA","NA","NA",0,"WD ","Abnorml",199636.224307894
535453180,20,"RL",70,7903,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",16,"Norm","Norm","1Fam","1Story",5,5,1960,1960,"Hip","CompShg","BrkFace","BrkFace","None",0,"TA","TA","CBlock","TA","TA","No","Rec",739,"Unf",0,503,1242,"GasA","Gd","Y","FuseA",1242,0,0,1242,1,0,1,1,3,1,"TA",6,"Typ",0,"NA","Attchd",1960,"RFn",1,324,"TA","TA","Y",0,0,0,0,0,0,"NA","NA","NA",0,"WD ","Family",167988.431944966
908102260,20,"RL",75,9937,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",8,"Norm","Norm","1Fam","1Story",5,6,1965,1965,"Gable","CompShg","HdBoard","HdBoard","None",0,"Gd","TA","CBlock","TA","TA","No","BLQ",830,"LwQ",290,136,1256,"GasA","Gd","Y","SBrkr",1256,0,0,1256,1,0,1,1,3,1,"TA",6,"Typ",0,"NA","Attchd",1965,"Fin",1,276,"TA","TA","Y",736,68,0,0,0,0,"NA","NA","NA",0,"WD ","Normal",176896.076454007
528435020,60,"RL",80,9428,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",24,"Norm","Norm","1Fam","2Story",8,5,2007,2008,"Hip","CompShg","VinylSd","VinylSd","Stone",310,"Gd","TA","PConc","Gd","TA","Av","GLQ",729,"Unf",0,226,955,"GasA","Ex","Y","SBrkr",955,919,0,1874,1,0,2,1,3,1,"Gd",8,"Typ",1,"Gd","Attchd",2007,"Fin",3,880,"TA","TA","Y",168,108,0,0,0,0,"NA","NA","NA",0,"New","Partial",343649.017273164
535425050,20,"RL",86,11650,"Pave","NA","Reg","Lvl","AllPub","Corner","Gtl",16,"PosA","Norm","1Fam","1Story",7,5,1959,1959,"Hip","CompShg","Plywood","Plywood","BrkCmn",58,"TA","TA","Slab","NA","NA","NA","NA",0,"NA",0,0,0,"GasA","Gd","Y","FuseA",1472,0,0,1472,0,0,2,0,2,1,"Gd",5,"Typ",1,"Gd","Attchd",1959,"Unf",2,484,"TA","TA","Y",0,68,0,0,227,0,"NA","NA","NA",0,"WD ","Normal",190448.390508371
532377140,20,"RL",,9945,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl",22,"Norm","Norm","1Fam","1Story",5,5,1961,1961,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",57,"TA","TA","CBlock","TA","TA","No","Rec",827,"Unf",0,161,988,"GasA","TA","Y","SBrkr",988,0,0,988,1,0,1,0,3,1,"TA",5,"Typ",0,"NA","Detchd",1963,"Unf",2,572,"TA","TA","Y",0,0,0,0,0,0,"NA","NA","NA",0,"WD ","Normal",145250.057882865
910251050,20,"A (agr)",80,14584,"Pave","NA","Reg","Low","AllPub","Inside","Mod",12,"Norm","Norm","1Fam","1Story",1,5,1952,1952,"Gable","CompShg","AsbShng","VinylSd","None",0,"Fa","Po","Slab","NA","NA","NA","NA",0,"NA",0,0,0,"Wall","Po","N","FuseA",733,0,0,733,0,0,1,0,2,1,"Fa",4,"Sal",0,"NA","Attchd",1952,"Unf",2,487,"Fa","Po","N",0,0,0,0,0,0,"NA","NA","NA",0,"WD ","Abnorml",15140.5277473159
908102050,20,"RL",67,8777,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",8,"Feedr","Norm","1Fam","1Story",4,5,1949,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","NA","NA","NA","NA",0,"NA",0,0,0,"GasA","Ex","Y","SBrkr",1126,0,0,1126,0,0,2,0,2,1,"Gd",5,"Typ",0,"NA","Detchd",2002,"Fin",2,520,"TA","TA","N",0,96,0,0,0,0,"NA","MnPrv","NA",0,"WD ","Normal",120288.264006125
902406030,20,"RM",65,9750,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl",21,"Norm","Norm","1Fam","1Story",5,5,1958,1958,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,960,960,"GasA","Ex","Y","SBrkr",960,0,0,960,0,0,1,0,3,1,"TA",5,"Typ",0,"NA","Detchd",2002,"Unf",2,624,"TA","TA","Y",0,0,0,0,0,0,"NA","NA","Gar2",4500,"WD ","Normal",150440.621921402
909250060,50,"RL",50,9638,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",26,"Feedr","Norm","1Fam","1.5Fin",6,7,1919,1990,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,804,804,"GasA","Ex","Y","SBrkr",1699,748,0,2447,0,0,2,0,4,1,"Gd",10,"Min2",1,"Gd","Detchd",1969,"Unf",1,336,"TA","TA","Y",272,0,42,0,116,0,"NA","NA","NA",0,"WD ","Normal",202811.826301805
532376110,20,"RL",,7791,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl",22,"RRAe","Norm","1Fam","1Story",5,8,1963,1995,"Gable","CompShg","Plywood","Plywood","None",0,"Gd","Gd","CBlock","TA","TA","No","ALQ",624,"Unf",0,288,912,"GasA","Ex","Y","SBrkr",912,0,0,912,1,0,1,0,3,1,"Gd",6,"Typ",0,"NA","Attchd",1963,"RFn",1,300,"TA","TA","Y",0,0,0,0,0,0,"NA","GdWo","NA",0,"WD ","Normal",142277.846632513
906392080,20,"RL",64,7242,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",6,"Norm","Norm","1Fam","1Story",7,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1270,1270,"GasA","Ex","Y","SBrkr",1270,0,0,1270,0,0,2,0,2,1,"Gd",6,"Typ",0,"NA","Attchd",2005,"RFn",2,524,"TA","TA","Y",0,96,0,0,0,0,"NA","NA","NA",0,"WD ","Normal",201532.305300913
907135260,20,"RL",57,9245,"Pave","NA","IR2","Lvl","AllPub","Inside","Gtl",6,"Norm","Norm","1Fam","1Story",5,5,1994,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",686,"Unf",0,304,990,"GasA","Ex","Y","SBrkr",990,0,0,990,0,1,1,0,3,1,"TA",5,"Typ",0,"NA","Detchd",1996,"Unf",2,672,"TA","TA","Y",0,0,0,0,0,0,"NA","NA","NA",0,"WD ","Normal",189134.099958923
907280040,60,"RL",75,9375,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",6,"Norm","Norm","1Fam","2Story",7,5,1997,1997,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1040,1040,"GasA","Ex","Y","SBrkr",1044,1054,0,2098,0,0,2,1,4,1,"Gd",9,"Typ",1,"TA","Attchd",1997,"Fin",2,621,"TA","TA","Y",331,38,0,0,0,0,"NA","NA","NA",0,"WD ","Normal",289551.386444342
903234050,30,"RM",51,6120,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",21,"Artery","Norm","1Fam","1Story",6,5,1923,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","Fa","Fa","No","ALQ",960,"Unf",0,164,1124,"GasA","TA","Y","SBrkr",1068,0,0,1068,1,0,1,0,2,1,"TA",5,"Typ",1,"Gd","Detchd",1923,"Unf",1,288,"TA","TA","Y",0,0,128,0,0,0,"NA","NA","NA",0,"WD ","Normal",131615.651329022
907255020,60,"RL",,9240,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",6,"Norm","Norm","1Fam","2Story",8,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",396,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1055,1055,"GasA","Ex","Y","SBrkr",1055,1208,0,2263,0,0,2,1,3,1,"Gd",7,"Typ",1,"TA","BuiltIn",2001,"Fin",2,905,"TA","TA","Y",0,45,0,0,189,0,"NA","NA","NA",0,"WD ","Normal",380113.607747191
535450200,50,"RL",60,8064,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",16,"Artery","Norm","1Fam","1.5Fin",6,5,1950,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Av","Rec",621,"Unf",0,174,795,"GasA","Gd","N","SBrkr",765,368,0,1133,0,0,1,0,3,1,"TA",5,"Typ",0,"NA","Detchd",1989,"Unf",2,900,"TA","TA","Y",0,0,0,0,231,0,"NA","NA","NA",0,"COD","Abnorml",152461.947372415
527354050,20,"RL",80,10400,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",20,"Norm","Norm","1Fam","1Story",6,5,1979,1999,"Gable","CompShg","MetalSd","MetalSd","BrkFace",253,"TA","TA","CBlock","Gd","TA","No","GLQ",903,"Unf",0,356,1259,"GasA","Ex","Y","SBrkr",1353,0,0,1353,1,0,2,0,2,1,"TA",5,"Typ",1,"TA","Attchd",1979,"RFn",2,478,"TA","TA","Y",240,141,0,0,0,0,"NA","NA","NA",0,"WD ","Normal",212848.706262973
535353040,20,"RL",60,7626,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",16,"Norm","Norm","1Fam","1Story",5,8,1952,2005,"Hip","CompShg","Wd Sdng","Wd Sdng","None",0,"Gd","TA","CBlock","TA","TA","No","GLQ",931,"Unf",0,100,1031,"GasA","Gd","Y","SBrkr",1031,0,0,1031,1,0,1,0,2,1,"Gd",5,"Typ",0,"NA","Attchd",1952,"Unf",1,230,"TA","TA","Y",0,0,0,0,0,0,"NA","MnPrv","NA",0,"WD ","Normal",163169.077685416
908275280,50,"RL",59,16466,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl",8,"Norm","Norm","1Fam","1.5Fin",5,7,1955,1955,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Gd","PConc","TA","TA","No","Unf",0,"Unf",0,816,816,"GasA","TA","Y","SBrkr",872,521,0,1393,0,0,1,1,3,1,"TA",8,"Typ",0,"NA","Attchd",1955,"Unf",1,300,"TA","TA","Y",121,0,0,0,265,0,"NA","NA","NA",0,"WD ","Normal",162294.104251541
923426010,20,"RL",74,12395,"Pave","NA","Reg","Lvl","AllPub","Corner","Gtl",15,"Norm","Norm","1Fam","1Story",5,6,1984,1984,"Gable","CompShg","HdBoard","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",647,"Unf",0,217,864,"GasA","TA","Y","SBrkr",889,0,0,889,0,0,1,0,3,1,"TA",6,"Typ",0,"NA","Attchd",1984,"Unf",2,484,"TA","TA","Y",0,0,0,0,0,0,"NA","NA","NA",0,"WD ","Normal",151728.839104969
909254150,50,"RL",53,5362,"Pave","NA","Reg","Lvl","AllPub","Corner","Gtl",7,"Norm","Norm","1Fam","1.5Fin",5,6,1910,2003,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,661,661,"GasA","Ex","Y","SBrkr",661,589,0,1250,0,0,2,0,3,1,"TA",8,"Typ",1,"Gd","Detchd",1985,"Unf",2,552,"TA","TA","Y",242,0,81,0,0,0,"NA","NA","NA",0,"WD ","Normal",148575.191827812
534275100,20,"RL",65,8125,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",16,"Norm","Norm","1Fam","1Story",5,7,1959,1959,"Hip","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",403,"Unf",0,461,864,"GasA","Ex","Y","SBrkr",864,0,0,864,0,0,1,0,3,1,"TA",5,"Typ",0,"NA","Detchd",1960,"Unf",1,308,"TA","TA","Y",0,0,0,0,0,0,"NA","NA","NA",0,"WD ","Normal",127547.433815077
528441020,60,"RL",75,9675,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",24,"Norm","Norm","1Fam","2Story",7,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Mn","GLQ",341,"Unf",0,772,1113,"GasA","Ex","Y","SBrkr",1113,858,0,1971,0,0,2,1,3,1,"Gd",8,"Typ",1,"Gd","Attchd",2005,"RFn",2,689,"TA","TA","Y",0,48,0,0,0,0,"NA","NA","NA",0,"WD ","Normal",269295.223973642
535477180,20,"RL",60,6600,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",16,"PosN","Norm","1Fam","1Story",5,5,1962,1962,"Hip","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",110,"BLQ",442,312,864,"GasA","Gd","Y","SBrkr",864,0,0,864,0,0,1,0,2,1,"TA",5,"Typ",0,"NA","Detchd",1962,"Unf",1,294,"TA","TA","Y",58,0,0,0,0,0,"NA","NA","NA",0,"WD ","Normal",140968.413277462
907260050,60,"RL",70,8749,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",6,"Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",654,"Unf",0,325,979,"GasA","Ex","Y","SBrkr",992,940,0,1932,1,0,2,1,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2003,"RFn",2,610,"TA","TA","Y",0,120,0,0,0,0,"NA","NA","NA",0,"WD ","Normal",228220.080081232
535453070,20,"RL",75,7500,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",16,"Norm","Norm","1Fam","1Story",5,7,1959,1994,"Hip","CompShg","BrkFace","BrkFace","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",340,"Rec",906,0,1246,"GasA","Ex","Y","SBrkr",1246,0,0,1246,1,0,1,1,3,1,"Gd",6,"Typ",0,"NA","Attchd",1959,"RFn",1,305,"TA","TA","Y",218,0,0,0,0,0,"NA","GdPrv","NA",0,"WD ","Normal",186106.772824491
923275040,85,"RL",,9101,"Pave","NA","IR1","Lvl","AllPub","Corner","Gtl",15,"Norm","Norm","1Fam","SFoyer",5,6,1978,1978,"Gable","CompShg","Plywood","Plywood","BrkFace",104,"TA","Gd","PConc","Gd","TA","Av","GLQ",1097,"Unf",0,0,1097,"GasA","Ex","Y","SBrkr",1110,0,0,1110,1,0,1,0,1,1,"Gd",4,"Typ",1,"TA","Attchd",1978,"Fin",2,602,"TA","TA","Y",303,30,0,0,0,0,"NA","NA","NA",0,"WD ","Normal",185063.624094669
534427040,20,"RL",80,10721,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl",16,"Norm","Norm","1Fam","1Story",6,6,1959,1959,"Hip","CompShg","HdBoard","HdBoard","Stone",243,"Gd","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,1252,1252,"GasA","Ex","Y","SBrkr",1252,0,0,1252,0,0,1,0,3,1,"Gd",7,"Typ",0,"NA","Detchd",1960,"Unf",2,528,"TA","TA","Y",0,39,0,0,0,0,"NA","NA","NA",0,"WD ","Normal",153817.248723832
905402060,20,"RL",,13680,"Pave","NA","IR1","Lvl","AllPub","CulDSac","Gtl",8,"Norm","Norm","1Fam","1Story",3,5,1955,1955,"Hip","CompShg","BrkFace","Wd Sdng","None",0,"TA","TA","Slab","NA","NA","NA","NA",0,"NA",0,0,0,"GasA","Ex","Y","FuseA",1733,0,0,1733,0,0,2,0,4,1,"TA",8,"Min2",1,"Gd","Attchd",1955,"Unf",2,452,"TA","TA","Y",0,0,0,0,0,0,"NA","NA","NA",0,"WD ","Normal",167585.367898614
903233220,50,"RM",51,6120,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",4,"Norm","Norm","1Fam","1.5Fin",5,7,1930,1984,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Gd","BrkTil","TA","TA","No","Unf",0,"Unf",0,741,741,"GasA","Gd","Y","SBrkr",741,583,0,1324,0,0,1,0,3,1,"Gd",7,"Typ",0,"NA","Detchd",1930,"Unf",1,180,"Fa","TA","Y",0,0,55,0,0,0,"NA","NA","NA",0,"WD ","Normal",132120.876779391
528172150,60,"RL",,13215,"Pave","NA","IR1","Lvl","AllPub","Corner","Gtl",19,"Norm","Norm","1Fam","2Story",8,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","BrkFace",112,"Gd","TA","PConc","Gd","TA","No","GLQ",994,"Unf",0,426,1420,"GasA","Ex","Y","SBrkr",1426,488,0,1914,1,0,2,1,3,1,"Gd",9,"Typ",1,"TA","BuiltIn",2004,"RFn",3,746,"TA","TA","Y",168,127,0,0,0,0,"NA","NA","NA",0,"WD ","Normal",348143.303321998
531375040,20,"RL",63,13072,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",23,"RRAe","Norm","1Fam","1Story",7,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1114,1114,"GasA","Ex","Y","SBrkr",1114,0,0,1114,0,0,1,1,3,1,"Gd",6,"Typ",0,"NA","Detchd",2005,"Unf",2,576,"TA","TA","Y",248,102,0,0,0,0,"NA","NA","NA",0,"WD ","Normal",175671.254745696
907200190,80,"RL",59,8660,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl",6,"Norm","Norm","1Fam","SLvl",5,5,1976,1976,"Gable","CompShg","VinylSd","VinylSd","BrkFace",113,"TA","Gd","CBlock","Gd","TA","Av","GLQ",502,"Unf",0,513,1015,"GasA","TA","Y","SBrkr",1025,0,0,1025,0,0,2,0,3,1,"TA",6,"Typ",1,"Fa","Detchd",1979,"Unf",2,370,"TA","TA","Y",127,0,0,0,0,0,"NA","NA","NA",0,"WD ","Normal",175598.542478499
531376090,20,"RL",61,7328,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl",23,"Norm","Norm","1Fam","1Story",7,5,2008,2009,"Gable","CompShg","VinylSd","VinylSd","BrkFace",140,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1450,1450,"GasA","Ex","Y","SBrkr",1450,0,0,1450,0,0,2,0,2,1,"Gd",6,"Typ",0,"NA","Attchd",2008,"RFn",3,788,"TA","TA","Y",0,93,0,0,0,0,"NA","NA","NA",0,"New","Partial",248465.236304195
